2026-07-01 07:36:22,325 WARNING materialize_choice_feature_matrix(TLA): cached_features_dir=None; every kept-hand row will be re-simulated (slow path)
2026-07-01 07:36:22,345 INFO materialize_choice_feature_matrix(TLA): 342 shrunk WRs, 342 z-score rows
2026-07-01 07:36:40,617 INFO _classify_and_iter_rows: cache_hits=0, sim_required=320576
2026-07-01 07:46:00,945 INFO materialize_choice_feature_matrix(TLA): wrote chunk 40 (cumulative=5000, via_cache=0, via_sim=5000)
2026-07-01 07:55:11,352 INFO materialize_choice_feature_matrix(TLA): wrote chunk 41 (cumulative=10000, via_cache=0, via_sim=10000)
2026-07-01 08:04:42,402 INFO materialize_choice_feature_matrix(TLA): wrote chunk 42 (cumulative=15000, via_cache=0, via_sim=15000)
2026-07-01 08:14:32,761 INFO materialize_choice_feature_matrix(TLA): wrote chunk 43 (cumulative=20000, via_cache=0, via_sim=20000)
2026-07-01 08:24:19,572 INFO materialize_choice_feature_matrix(TLA): wrote chunk 44 (cumulative=25000, via_cache=0, via_sim=25000)
2026-07-01 08:34:08,144 INFO materialize_choice_feature_matrix(TLA): wrote chunk 45 (cumulative=30000, via_cache=0, via_sim=30000)
2026-07-01 08:43:59,834 INFO materialize_choice_feature_matrix(TLA): wrote chunk 46 (cumulative=35000, via_cache=0, via_sim=35000)
2026-07-01 08:53:56,428 INFO materialize_choice_feature_matrix(TLA): wrote chunk 47 (cumulative=40000, via_cache=0, via_sim=40000)
2026-07-01 09:03:25,866 INFO materialize_choice_feature_matrix(TLA): wrote chunk 48 (cumulative=45000, via_cache=0, via_sim=45000)
2026-07-01 09:13:10,175 INFO materialize_choice_feature_matrix(TLA): wrote chunk 49 (cumulative=50000, via_cache=0, via_sim=50000)
2026-07-01 09:22:30,575 INFO materialize_choice_feature_matrix(TLA): wrote chunk 50 (cumulative=55000, via_cache=0, via_sim=55000)
2026-07-01 09:32:16,796 INFO materialize_choice_feature_matrix(TLA): wrote chunk 51 (cumulative=60000, via_cache=0, via_sim=60000)
2026-07-01 09:41:50,034 INFO materialize_choice_feature_matrix(TLA): wrote chunk 52 (cumulative=65000, via_cache=0, via_sim=65000)
2026-07-01 09:51:28,967 INFO materialize_choice_feature_matrix(TLA): wrote chunk 53 (cumulative=70000, via_cache=0, via_sim=70000)
2026-07-01 10:01:00,892 INFO materialize_choice_feature_matrix(TLA): wrote chunk 54 (cumulative=75000, via_cache=0, via_sim=75000)
2026-07-01 10:10:42,604 INFO materialize_choice_feature_matrix(TLA): wrote chunk 55 (cumulative=80000, via_cache=0, via_sim=80000)
2026-07-01 10:20:17,597 INFO materialize_choice_feature_matrix(TLA): wrote chunk 56 (cumulative=85000, via_cache=0, via_sim=85000)
2026-07-01 10:29:54,952 INFO materialize_choice_feature_matrix(TLA): wrote chunk 57 (cumulative=90000, via_cache=0, via_sim=90000)
2026-07-01 10:39:30,887 INFO materialize_choice_feature_matrix(TLA): wrote chunk 58 (cumulative=95000, via_cache=0, via_sim=95000)
2026-07-01 10:49:10,473 INFO materialize_choice_feature_matrix(TLA): wrote chunk 59 (cumulative=100000, via_cache=0, via_sim=100000)
2026-07-01 10:58:49,416 INFO materialize_choice_feature_matrix(TLA): wrote chunk 60 (cumulative=105000, via_cache=0, via_sim=105000)
2026-07-01 11:08:19,267 INFO materialize_choice_feature_matrix(TLA): wrote chunk 61 (cumulative=110000, via_cache=0, via_sim=110000)
2026-07-01 11:18:06,067 INFO materialize_choice_feature_matrix(TLA): wrote chunk 62 (cumulative=115000, via_cache=0, via_sim=115000)
2026-07-01 11:27:44,680 INFO materialize_choice_feature_matrix(TLA): wrote chunk 63 (cumulative=120000, via_cache=0, via_sim=120000)
2026-07-01 11:37:32,899 INFO materialize_choice_feature_matrix(TLA): wrote chunk 64 (cumulative=125000, via_cache=0, via_sim=125000)
2026-07-01 11:47:32,431 INFO materialize_choice_feature_matrix(TLA): wrote chunk 65 (cumulative=130000, via_cache=0, via_sim=130000)
2026-07-01 11:57:16,086 INFO materialize_choice_feature_matrix(TLA): wrote chunk 66 (cumulative=135000, via_cache=0, via_sim=135000)
2026-07-01 12:06:54,432 INFO materialize_choice_feature_matrix(TLA): wrote chunk 67 (cumulative=140000, via_cache=0, via_sim=140000)
2026-07-01 12:16:41,867 INFO materialize_choice_feature_matrix(TLA): wrote chunk 68 (cumulative=145000, via_cache=0, via_sim=145000)
2026-07-01 12:26:30,035 INFO materialize_choice_feature_matrix(TLA): wrote chunk 69 (cumulative=150000, via_cache=0, via_sim=150000)
2026-07-01 12:36:14,327 INFO materialize_choice_feature_matrix(TLA): wrote chunk 70 (cumulative=155000, via_cache=0, via_sim=155000)
2026-07-01 12:46:01,829 INFO materialize_choice_feature_matrix(TLA): wrote chunk 71 (cumulative=160000, via_cache=0, via_sim=160000)
2026-07-01 12:55:39,431 INFO materialize_choice_feature_matrix(TLA): wrote chunk 72 (cumulative=165000, via_cache=0, via_sim=165000)
2026-07-01 13:05:19,879 INFO materialize_choice_feature_matrix(TLA): wrote chunk 73 (cumulative=170000, via_cache=0, via_sim=170000)
2026-07-01 13:15:01,812 INFO materialize_choice_feature_matrix(TLA): wrote chunk 74 (cumulative=175000, via_cache=0, via_sim=175000)
2026-07-01 13:24:43,130 INFO materialize_choice_feature_matrix(TLA): wrote chunk 75 (cumulative=180000, via_cache=0, via_sim=180000)
2026-07-01 13:34:38,488 INFO materialize_choice_feature_matrix(TLA): wrote chunk 76 (cumulative=185000, via_cache=0, via_sim=185000)
2026-07-01 13:44:10,115 INFO materialize_choice_feature_matrix(TLA): wrote chunk 77 (cumulative=190000, via_cache=0, via_sim=190000)
2026-07-01 13:54:00,284 INFO materialize_choice_feature_matrix(TLA): wrote chunk 78 (cumulative=195000, via_cache=0, via_sim=195000)
2026-07-01 14:03:39,706 INFO materialize_choice_feature_matrix(TLA): wrote chunk 79 (cumulative=200000, via_cache=0, via_sim=200000)
2026-07-01 14:13:42,109 INFO materialize_choice_feature_matrix(TLA): wrote chunk 80 (cumulative=205000, via_cache=0, via_sim=205000)
2026-07-01 14:23:16,614 INFO materialize_choice_feature_matrix(TLA): wrote chunk 81 (cumulative=210000, via_cache=0, via_sim=210000)
2026-07-01 14:33:02,451 INFO materialize_choice_feature_matrix(TLA): wrote chunk 82 (cumulative=215000, via_cache=0, via_sim=215000)
2026-07-01 14:42:43,568 INFO materialize_choice_feature_matrix(TLA): wrote chunk 83 (cumulative=220000, via_cache=0, via_sim=220000)
2026-07-01 14:52:35,555 INFO materialize_choice_feature_matrix(TLA): wrote chunk 84 (cumulative=225000, via_cache=0, via_sim=225000)
2026-07-01 15:02:18,211 INFO materialize_choice_feature_matrix(TLA): wrote chunk 85 (cumulative=230000, via_cache=0, via_sim=230000)
2026-07-01 15:11:57,261 INFO materialize_choice_feature_matrix(TLA): wrote chunk 86 (cumulative=235000, via_cache=0, via_sim=235000)
2026-07-01 15:21:45,072 INFO materialize_choice_feature_matrix(TLA): wrote chunk 87 (cumulative=240000, via_cache=0, via_sim=240000)
2026-07-01 15:31:33,267 INFO materialize_choice_feature_matrix(TLA): wrote chunk 88 (cumulative=245000, via_cache=0, via_sim=245000)
2026-07-01 15:41:34,568 INFO materialize_choice_feature_matrix(TLA): wrote chunk 89 (cumulative=250000, via_cache=0, via_sim=250000)
2026-07-01 15:51:10,668 INFO materialize_choice_feature_matrix(TLA): wrote chunk 90 (cumulative=255000, via_cache=0, via_sim=255000)
2026-07-01 16:00:59,577 INFO materialize_choice_feature_matrix(TLA): wrote chunk 91 (cumulative=260000, via_cache=0, via_sim=260000)
2026-07-01 16:10:54,688 INFO materialize_choice_feature_matrix(TLA): wrote chunk 92 (cumulative=265000, via_cache=0, via_sim=265000)
2026-07-01 16:20:34,974 INFO materialize_choice_feature_matrix(TLA): wrote chunk 93 (cumulative=270000, via_cache=0, via_sim=270000)
2026-07-01 16:30:29,874 INFO materialize_choice_feature_matrix(TLA): wrote chunk 94 (cumulative=275000, via_cache=0, via_sim=275000)
2026-07-01 16:40:15,633 INFO materialize_choice_feature_matrix(TLA): wrote chunk 95 (cumulative=280000, via_cache=0, via_sim=280000)
2026-07-01 16:50:01,101 INFO materialize_choice_feature_matrix(TLA): wrote chunk 96 (cumulative=285000, via_cache=0, via_sim=285000)
2026-07-01 16:59:57,999 INFO materialize_choice_feature_matrix(TLA): wrote chunk 97 (cumulative=290000, via_cache=0, via_sim=290000)
2026-07-01 17:10:01,237 INFO materialize_choice_feature_matrix(TLA): wrote chunk 98 (cumulative=295000, via_cache=0, via_sim=295000)
2026-07-01 17:19:47,867 INFO materialize_choice_feature_matrix(TLA): wrote chunk 99 (cumulative=300000, via_cache=0, via_sim=300000)
2026-07-01 17:29:48,875 INFO materialize_choice_feature_matrix(TLA): wrote chunk 100 (cumulative=305000, via_cache=0, via_sim=305000)
